ph,tds,turbidity,temperature,hazard_class
7.35,210,1.8,24.2,0
7.42,185,1.2,23.5,0
7.15,320,2.5,25.1,0
7.80,290,1.9,24.8,0
6.95,410,3.1,26.0,0
7.50,150,0.8,22.5,0
7.25,275,2.0,24.0,0
7.60,340,2.8,25.5,0
7.10,220,1.5,23.8,0
7.75,310,2.2,24.5,0
6.10,890,4.2,27.1,1
6.45,750,5.5,28.5,1
8.80,620,6.1,29.0,1
5.90,950,8.0,30.5,1
6.25,810,7.2,29.5,1
8.65,580,4.9,27.8,1
5.75,990,9.5,31.2,1
6.30,720,5.8,28.0,1
8.95,680,8.5,30.0,1
6.05,850,6.5,28.8,1
4.10,310,8.5,29.5,2
3.50,1250,14.5,36.2,2
9.80,1400,12.0,38.5,2
4.50,1100,15.2,35.0,2
3.85,1350,18.5,37.1,2
10.20,1550,22.0,39.5,2
4.20,1180,16.8,36.8,2
3.95,1290,19.5,37.5,2
10.50,1600,25.0,40.2,2
4.05,1220,17.5,36.5,2
